,R0,MSM_recov,HET_recov,red_HET,TOT_recov,red,bridge,country,strat,outbreak_time
0,1.5,91,49357,0,49448,0.85,0.08,USA,Rnd,152
1,1.5,88,49367,0,49455,0.85,0.08,USA,Rnd,160
2,1.5,101,49345,0,49446,0.85,0.08,USA,Rnd,142
3,1.5,93,49369,0,49462,0.85,0.08,USA,Rnd,149
4,1.5,105,49352,0,49457,0.85,0.08,USA,Rnd,134
5,1.5,89,49367,0,49456,0.85,0.08,USA,Rnd,131
6,1.5,93,49377,0,49470,0.85,0.08,USA,Rnd,152
7,1.5,95,49380,0,49475,0.85,0.08,USA,Rnd,220
8,1.5,88,49367,0,49455,0.85,0.08,USA,Rnd,158
9,1.5,87,49333,0,49420,0.85,0.08,USA,Rnd,159
10,1.5,77,49345,0,49422,0.85,0.08,USA,Rnd,177
11,1.5,64,49355,0,49419,0.85,0.08,USA,Rnd,123
12,1.5,77,49355,0,49432,0.85,0.08,USA,Rnd,179
13,1.5,86,49374,0,49460,0.85,0.08,USA,Rnd,136
14,1.5,99,49404,0,49503,0.85,0.08,USA,Rnd,153
15,1.5,95,49388,0,49483,0.85,0.08,USA,Rnd,140
16,1.5,70,49353,0,49423,0.85,0.08,USA,Rnd,154
17,1.5,27,0,0,27,0.85,0.08,USA,Rnd,133
18,1.5,95,49351,0,49446,0.85,0.08,USA,Rnd,141
19,1.5,87,49365,0,49452,0.85,0.08,USA,Rnd,142
20,1.5,74,49349,0,49423,0.85,0.08,USA,Rnd,161
21,1.5,96,49325,0,49421,0.85,0.08,USA,Rnd,180
22,1.5,89,49335,0,49424,0.85,0.08,USA,Rnd,157
23,1.5,75,49360,0,49435,0.85,0.08,USA,Rnd,174
24,1.5,85,49328,0,49413,0.85,0.08,USA,Rnd,130
25,1.5,96,49327,0,49423,0.85,0.08,USA,Rnd,138
26,1.5,116,49343,0,49459,0.85,0.08,USA,Rnd,143
27,1.5,83,49373,0,49456,0.85,0.08,USA,Rnd,163
28,1.5,91,49360,0,49451,0.85,0.08,USA,Rnd,198
29,1.5,90,49410,0,49500,0.85,0.08,USA,Rnd,152
30,1.5,95,49316,0,49411,0.85,0.08,USA,Rnd,232
31,1.5,99,49347,0,49446,0.85,0.08,USA,Rnd,173
32,1.5,107,49351,0,49458,0.85,0.08,USA,Rnd,233
33,1.5,87,49329,0,49416,0.85,0.08,USA,Rnd,230
34,1.5,111,49416,0,49527,0.85,0.08,USA,Rnd,146
35,1.5,101,49307,0,49408,0.85,0.08,USA,Rnd,144
36,1.5,110,49361,0,49471,0.85,0.08,USA,Rnd,213
37,1.5,115,49366,0,49481,0.85,0.08,USA,Rnd,166
38,1.5,96,49356,0,49452,0.85,0.08,USA,Rnd,226
39,1.5,90,49347,0,49437,0.85,0.08,USA,Rnd,169
40,1.5,112,49414,0,49526,0.85,0.08,USA,Rnd,173
41,1.5,74,49350,0,49424,0.85,0.08,USA,Rnd,139
42,1.5,92,49346,0,49438,0.85,0.08,USA,Rnd,143
43,1.5,105,49369,0,49474,0.85,0.08,USA,Rnd,154
44,1.5,85,49377,0,49462,0.85,0.08,USA,Rnd,174
45,1.5,92,49342,0,49434,0.85,0.08,USA,Rnd,145
46,1.5,100,49343,0,49443,0.85,0.08,USA,Rnd,144
47,1.5,35,0,0,35,0.85,0.08,USA,Rnd,158
48,1.5,88,49381,0,49469,0.85,0.08,USA,Rnd,183
49,1.5,94,49409,0,49503,0.85,0.08,USA,Rnd,186
50,1.5,100,49361,0,49461,0.85,0.08,USA,Rnd,176
51,1.5,88,49324,0,49412,0.85,0.08,USA,Rnd,236
