,R0,MSM_recov,HET_recov,red_HET,TOT_recov,red,bridge,country,strat,outbreak_time
0,1.5,119,49403,0,49522,0.75,0.04,USA,Rnd,160
1,1.5,111,49368,0,49479,0.75,0.04,USA,Rnd,165
2,1.5,127,49327,0,49454,0.75,0.04,USA,Rnd,157
3,1.5,112,49352,0,49464,0.75,0.04,USA,Rnd,170
4,1.5,119,49374,0,49493,0.75,0.04,USA,Rnd,181
5,1.5,134,49352,0,49486,0.75,0.04,USA,Rnd,197
6,1.5,122,49330,0,49452,0.75,0.04,USA,Rnd,152
7,1.5,119,49402,0,49521,0.75,0.04,USA,Rnd,169
8,1.5,114,49338,0,49452,0.75,0.04,USA,Rnd,156
9,1.5,133,49356,0,49489,0.75,0.04,USA,Rnd,173
10,1.5,124,49381,0,49505,0.75,0.04,USA,Rnd,157
11,1.5,97,49380,0,49477,0.75,0.04,USA,Rnd,253
12,1.5,111,49331,0,49442,0.75,0.04,USA,Rnd,204
13,1.5,136,49362,0,49498,0.75,0.04,USA,Rnd,230
14,1.5,130,49403,0,49533,0.75,0.04,USA,Rnd,153
15,1.5,128,49353,0,49481,0.75,0.04,USA,Rnd,149
16,1.5,101,49340,0,49441,0.75,0.04,USA,Rnd,144
17,1.5,124,49341,0,49465,0.75,0.04,USA,Rnd,151
18,1.5,133,49339,0,49472,0.75,0.04,USA,Rnd,162
19,1.5,132,49353,0,49485,0.75,0.04,USA,Rnd,158
20,1.5,125,49348,0,49473,0.75,0.04,USA,Rnd,158
21,1.5,130,49373,0,49503,0.75,0.04,USA,Rnd,146
22,1.5,133,49381,0,49514,0.75,0.04,USA,Rnd,155
23,1.5,120,49353,0,49473,0.75,0.04,USA,Rnd,125
24,1.5,134,49387,0,49521,0.75,0.04,USA,Rnd,153
25,1.5,115,49352,0,49467,0.75,0.04,USA,Rnd,167
26,1.5,128,49392,0,49520,0.75,0.04,USA,Rnd,140
27,1.5,119,49381,0,49500,0.75,0.04,USA,Rnd,162
28,1.5,125,49358,0,49483,0.75,0.04,USA,Rnd,154
29,1.5,119,49361,0,49480,0.75,0.04,USA,Rnd,150
30,1.5,129,49389,0,49518,0.75,0.04,USA,Rnd,142
31,1.5,116,49353,0,49469,0.75,0.04,USA,Rnd,130
32,1.5,139,49365,0,49504,0.75,0.04,USA,Rnd,140
33,1.5,134,49378,0,49512,0.75,0.04,USA,Rnd,141
34,1.5,137,49362,0,49499,0.75,0.04,USA,Rnd,152
35,1.5,137,49336,0,49473,0.75,0.04,USA,Rnd,178
36,1.5,123,49384,0,49507,0.75,0.04,USA,Rnd,190
37,1.5,94,49378,0,49472,0.75,0.04,USA,Rnd,139
38,1.5,126,49352,0,49478,0.75,0.04,USA,Rnd,144
