,R0,MSM_recov,HET_recov,red_HET,TOT_recov,red,bridge,country,strat,outbreak_time
0,1.5,32,49363,0,49395,0.95,0.09,USA,Rnd,137
1,1.5,44,49342,0,49386,0.95,0.09,USA,Rnd,139
2,1.5,35,49383,0,49418,0.95,0.09,USA,Rnd,142
3,1.5,6,0,0,6,0.95,0.09,USA,Rnd,37
4,1.5,6,0,0,6,0.95,0.09,USA,Rnd,46
5,1.5,42,49351,0,49393,0.95,0.09,USA,Rnd,135
6,1.5,11,0,0,11,0.95,0.09,USA,Rnd,54
7,1.5,35,49360,0,49395,0.95,0.09,USA,Rnd,170
8,1.5,8,0,0,8,0.95,0.09,USA,Rnd,75
9,1.5,6,0,0,6,0.95,0.09,USA,Rnd,63
10,1.5,11,0,0,11,0.95,0.09,USA,Rnd,40
11,1.5,11,0,0,11,0.95,0.09,USA,Rnd,78
12,1.5,39,49345,0,49384,0.95,0.09,USA,Rnd,142
13,1.5,4,0,0,4,0.95,0.09,USA,Rnd,48
14,1.5,3,0,0,3,0.95,0.09,USA,Rnd,46
15,1.5,6,0,0,6,0.95,0.09,USA,Rnd,59
16,1.5,13,0,0,13,0.95,0.09,USA,Rnd,65
17,1.5,2,0,0,2,0.95,0.09,USA,Rnd,21
18,1.5,46,49335,0,49381,0.95,0.09,USA,Rnd,135
19,1.5,9,0,0,9,0.95,0.09,USA,Rnd,50
20,1.5,44,49389,0,49433,0.95,0.09,USA,Rnd,151
21,1.5,43,49334,0,49377,0.95,0.09,USA,Rnd,129
22,1.5,11,0,0,11,0.95,0.09,USA,Rnd,50
23,1.5,5,0,0,5,0.95,0.09,USA,Rnd,56
24,1.5,41,49349,0,49390,0.95,0.09,USA,Rnd,166
25,1.5,42,49380,0,49422,0.95,0.09,USA,Rnd,166
26,1.5,39,49381,0,49420,0.95,0.09,USA,Rnd,192
27,1.5,7,0,0,7,0.95,0.09,USA,Rnd,52
28,1.5,49,49350,0,49399,0.95,0.09,USA,Rnd,140
29,1.5,41,49337,0,49378,0.95,0.09,USA,Rnd,135
30,1.5,10,0,0,10,0.95,0.09,USA,Rnd,70
31,1.5,5,0,0,5,0.95,0.09,USA,Rnd,50
32,1.5,49,49353,0,49402,0.95,0.09,USA,Rnd,147
33,1.5,46,49353,0,49399,0.95,0.09,USA,Rnd,142
34,1.5,9,0,0,9,0.95,0.09,USA,Rnd,55
35,1.5,2,0,0,2,0.95,0.09,USA,Rnd,39
36,1.5,38,49378,0,49416,0.95,0.09,USA,Rnd,134
37,1.5,37,49360,0,49397,0.95,0.09,USA,Rnd,150
38,1.5,7,0,0,7,0.95,0.09,USA,Rnd,86
39,1.5,34,49378,0,49412,0.95,0.09,USA,Rnd,135
40,1.5,39,49327,0,49366,0.95,0.09,USA,Rnd,167
41,1.5,4,0,0,4,0.95,0.09,USA,Rnd,56
42,1.5,35,49330,0,49365,0.95,0.09,USA,Rnd,145
43,1.5,47,49361,0,49408,0.95,0.09,USA,Rnd,146
44,1.5,2,0,0,2,0.95,0.09,USA,Rnd,48
45,1.5,2,0,0,2,0.95,0.09,USA,Rnd,32
46,1.5,38,49306,0,49344,0.95,0.09,USA,Rnd,149
47,1.5,3,0,0,3,0.95,0.09,USA,Rnd,32
48,1.5,43,49338,0,49381,0.95,0.09,USA,Rnd,142
49,1.5,52,49371,0,49423,0.95,0.09,USA,Rnd,139
50,1.5,12,0,0,12,0.95,0.09,USA,Rnd,43
51,1.5,4,0,0,4,0.95,0.09,USA,Rnd,48
52,1.5,12,0,0,12,0.95,0.09,USA,Rnd,110
53,1.5,8,0,0,8,0.95,0.09,USA,Rnd,53
54,1.5,11,0,0,11,0.95,0.09,USA,Rnd,87
55,1.5,35,49384,0,49419,0.95,0.09,USA,Rnd,153
56,1.5,3,0,0,3,0.95,0.09,USA,Rnd,59
57,1.5,7,0,0,7,0.95,0.09,USA,Rnd,62
58,1.5,36,49374,0,49410,0.95,0.09,USA,Rnd,142
59,1.5,5,0,0,5,0.95,0.09,USA,Rnd,57
60,1.5,6,0,0,6,0.95,0.09,USA,Rnd,58
61,1.5,5,0,0,5,0.95,0.09,USA,Rnd,48
62,1.5,43,49368,0,49411,0.95,0.09,USA,Rnd,145
63,1.5,7,0,0,7,0.95,0.09,USA,Rnd,59
64,1.5,9,0,0,9,0.95,0.09,USA,Rnd,94
65,1.5,40,49357,0,49397,0.95,0.09,USA,Rnd,136
66,1.5,8,0,0,8,0.95,0.09,USA,Rnd,39
67,1.5,4,0,0,4,0.95,0.09,USA,Rnd,41
68,1.5,1,0,0,1,0.95,0.09,USA,Rnd,21
69,1.5,43,49373,0,49416,0.95,0.09,USA,Rnd,140
70,1.5,11,0,0,11,0.95,0.09,USA,Rnd,102
71,1.5,49,49385,0,49434,0.95,0.09,USA,Rnd,208
72,1.5,42,49339,0,49381,0.95,0.09,USA,Rnd,133
73,1.5,44,49358,0,49402,0.95,0.09,USA,Rnd,139
74,1.5,4,0,0,4,0.95,0.09,USA,Rnd,48
