,R0,MSM_recov,HET_recov,red_HET,TOT_recov,red,bridge,country,strat,outbreak_time
0,1.5,167,49375,0,49542,0.65,0.02,USA,Rnd,205
1,1.5,170,49371,0,49541,0.65,0.02,USA,Rnd,210
2,1.5,149,49342,0,49491,0.65,0.02,USA,Rnd,134
3,1.5,173,49383,0,49556,0.65,0.02,USA,Rnd,159
4,1.5,160,49386,0,49546,0.65,0.02,USA,Rnd,203
5,1.5,150,49337,0,49487,0.65,0.02,USA,Rnd,151
6,1.5,160,49338,0,49498,0.65,0.02,USA,Rnd,153
7,1.5,154,49311,0,49465,0.65,0.02,USA,Rnd,137
8,1.5,134,49367,0,49501,0.65,0.02,USA,Rnd,158
9,1.5,141,49338,0,49479,0.65,0.02,USA,Rnd,169
10,1.5,165,49343,0,49508,0.65,0.02,USA,Rnd,174
11,1.5,182,49387,0,49569,0.65,0.02,USA,Rnd,168
12,1.5,173,49370,0,49543,0.65,0.02,USA,Rnd,135
13,1.5,181,49374,0,49555,0.65,0.02,USA,Rnd,150
14,1.5,151,49317,0,49468,0.65,0.02,USA,Rnd,189
15,1.5,156,49346,0,49502,0.65,0.02,USA,Rnd,158
16,1.5,178,49385,0,49563,0.65,0.02,USA,Rnd,140
17,1.5,151,49398,0,49549,0.65,0.02,USA,Rnd,155
18,1.5,146,49347,0,49493,0.65,0.02,USA,Rnd,135
19,1.5,154,49421,0,49575,0.65,0.02,USA,Rnd,139
20,1.5,165,49399,0,49564,0.65,0.02,USA,Rnd,146
21,1.5,184,49357,0,49541,0.65,0.02,USA,Rnd,178
22,1.5,152,49346,0,49498,0.65,0.02,USA,Rnd,156
23,1.5,175,49340,0,49515,0.65,0.02,USA,Rnd,137
24,1.5,148,49363,0,49511,0.65,0.02,USA,Rnd,166
25,1.5,163,49355,0,49518,0.65,0.02,USA,Rnd,180
26,1.5,171,49372,0,49543,0.65,0.02,USA,Rnd,159
27,1.5,171,49402,0,49573,0.65,0.02,USA,Rnd,136
28,1.5,171,49396,0,49567,0.65,0.02,USA,Rnd,142
29,1.5,162,49383,0,49545,0.65,0.02,USA,Rnd,148
30,1.5,156,49392,0,49548,0.65,0.02,USA,Rnd,145
31,1.5,156,49333,0,49489,0.65,0.02,USA,Rnd,200
32,1.5,147,49354,0,49501,0.65,0.02,USA,Rnd,146
33,1.5,154,49362,0,49516,0.65,0.02,USA,Rnd,158
34,1.5,156,49412,0,49568,0.65,0.02,USA,Rnd,138
35,1.5,173,49352,0,49525,0.65,0.02,USA,Rnd,153
36,1.5,153,49377,0,49530,0.65,0.02,USA,Rnd,163
37,1.5,167,49363,0,49530,0.65,0.02,USA,Rnd,125
38,1.5,159,49351,0,49510,0.65,0.02,USA,Rnd,135
39,1.5,164,49376,0,49540,0.65,0.02,USA,Rnd,159
40,1.5,157,49366,0,49523,0.65,0.02,USA,Rnd,184
41,1.5,136,49350,0,49486,0.65,0.02,USA,Rnd,125
42,1.5,159,49378,0,49537,0.65,0.02,USA,Rnd,133
43,1.5,162,49373,0,49535,0.65,0.02,USA,Rnd,147
44,1.5,155,49364,0,49519,0.65,0.02,USA,Rnd,159
45,1.5,166,49375,0,49541,0.65,0.02,USA,Rnd,131
46,1.5,151,49370,0,49521,0.65,0.02,USA,Rnd,213
47,1.5,181,49376,0,49557,0.65,0.02,USA,Rnd,155
48,1.5,159,49341,0,49500,0.65,0.02,USA,Rnd,163
49,1.5,152,49346,0,49498,0.65,0.02,USA,Rnd,185
50,1.5,175,49382,0,49557,0.65,0.02,USA,Rnd,137
51,1.5,169,49355,0,49524,0.65,0.02,USA,Rnd,146
52,1.5,166,49330,0,49496,0.65,0.02,USA,Rnd,130
53,1.5,150,49369,0,49519,0.65,0.02,USA,Rnd,160
54,1.5,175,49315,0,49490,0.65,0.02,USA,Rnd,175
55,1.5,180,49352,0,49532,0.65,0.02,USA,Rnd,162
56,1.5,172,49337,0,49509,0.65,0.02,USA,Rnd,150
57,1.5,163,49350,0,49513,0.65,0.02,USA,Rnd,142
58,1.5,160,49317,0,49477,0.65,0.02,USA,Rnd,149
59,1.5,165,49359,0,49524,0.65,0.02,USA,Rnd,121
60,1.5,147,49401,0,49548,0.65,0.02,USA,Rnd,148
61,1.5,168,49365,0,49533,0.65,0.02,USA,Rnd,133
62,1.5,161,49367,0,49528,0.65,0.02,USA,Rnd,130
63,1.5,175,49335,0,49510,0.65,0.02,USA,Rnd,191
64,1.5,174,49338,0,49512,0.65,0.02,USA,Rnd,150
65,1.5,165,49316,0,49481,0.65,0.02,USA,Rnd,157
66,1.5,156,49387,0,49543,0.65,0.02,USA,Rnd,164
67,1.5,149,49386,0,49535,0.65,0.02,USA,Rnd,173
68,1.5,169,49356,0,49525,0.65,0.02,USA,Rnd,180
69,1.5,162,49352,0,49514,0.65,0.02,USA,Rnd,125
70,1.5,145,49358,0,49503,0.65,0.02,USA,Rnd,145
71,1.5,162,49341,0,49503,0.65,0.02,USA,Rnd,170
72,1.5,157,49348,0,49505,0.65,0.02,USA,Rnd,140
73,1.5,152,49342,0,49494,0.65,0.02,USA,Rnd,141
74,1.5,151,49392,0,49543,0.65,0.02,USA,Rnd,143
75,1.5,175,49363,0,49538,0.65,0.02,USA,Rnd,164
76,1.5,151,49332,0,49483,0.65,0.02,USA,Rnd,150
77,1.5,167,49322,0,49489,0.65,0.02,USA,Rnd,156
78,1.5,155,49369,0,49524,0.65,0.02,USA,Rnd,141
79,1.5,171,49356,0,49527,0.65,0.02,USA,Rnd,139
80,1.5,178,49345,0,49523,0.65,0.02,USA,Rnd,137
81,1.5,170,49353,0,49523,0.65,0.02,USA,Rnd,194
82,1.5,164,49371,0,49535,0.65,0.02,USA,Rnd,166
83,1.5,178,49400,0,49578,0.65,0.02,USA,Rnd,138
84,1.5,159,49346,0,49505,0.65,0.02,USA,Rnd,139
85,1.5,158,49326,0,49484,0.65,0.02,USA,Rnd,128
