,R0,MSM_recov,HET_recov,red_HET,TOT_recov,red,bridge,country,strat,outbreak_time
0,1.5,87,49367,0,49454,0.95,0.25,USA,Rnd,126
1,1.5,94,49387,0,49481,0.95,0.25,USA,Rnd,147
2,1.5,87,49370,0,49457,0.95,0.25,USA,Rnd,126
3,1.5,93,49364,0,49457,0.95,0.25,USA,Rnd,131
4,1.5,88,49351,0,49439,0.95,0.25,USA,Rnd,125
5,1.5,86,49359,0,49445,0.95,0.25,USA,Rnd,127
6,1.5,95,49368,0,49463,0.95,0.25,USA,Rnd,127
7,1.5,86,49348,0,49434,0.95,0.25,USA,Rnd,136
8,1.5,82,49340,0,49422,0.95,0.25,USA,Rnd,144
9,1.5,83,49375,0,49458,0.95,0.25,USA,Rnd,153
10,1.5,86,49355,0,49441,0.95,0.25,USA,Rnd,136
11,1.5,95,49381,0,49476,0.95,0.25,USA,Rnd,145
12,1.5,87,49359,0,49446,0.95,0.25,USA,Rnd,133
13,1.5,82,49352,0,49434,0.95,0.25,USA,Rnd,123
14,1.5,4,0,0,4,0.95,0.25,USA,Rnd,39
15,1.5,92,49368,0,49460,0.95,0.25,USA,Rnd,142
16,1.5,87,49384,0,49471,0.95,0.25,USA,Rnd,131
17,1.5,8,0,0,8,0.95,0.25,USA,Rnd,65
18,1.5,85,49342,0,49427,0.95,0.25,USA,Rnd,129
19,1.5,5,0,0,5,0.95,0.25,USA,Rnd,57
20,1.5,94,49339,0,49433,0.95,0.25,USA,Rnd,124
21,1.5,88,49377,0,49465,0.95,0.25,USA,Rnd,132
22,1.5,81,49357,0,49438,0.95,0.25,USA,Rnd,133
23,1.5,85,49334,0,49419,0.95,0.25,USA,Rnd,156
24,1.5,87,49383,0,49470,0.95,0.25,USA,Rnd,144
25,1.5,92,49370,0,49462,0.95,0.25,USA,Rnd,138
26,1.5,84,49355,0,49439,0.95,0.25,USA,Rnd,127
27,1.5,80,49377,0,49457,0.95,0.25,USA,Rnd,140
28,1.5,78,49325,0,49403,0.95,0.25,USA,Rnd,127
29,1.5,91,49358,0,49449,0.95,0.25,USA,Rnd,166
30,1.5,92,49364,0,49456,0.95,0.25,USA,Rnd,127
31,1.5,88,49403,0,49491,0.95,0.25,USA,Rnd,142
32,1.5,85,49404,0,49489,0.95,0.25,USA,Rnd,148
33,1.5,3,0,0,3,0.95,0.25,USA,Rnd,62
34,1.5,89,49365,0,49454,0.95,0.25,USA,Rnd,127
35,1.5,95,49361,0,49456,0.95,0.25,USA,Rnd,136
36,1.5,4,0,0,4,0.95,0.25,USA,Rnd,65
37,1.5,8,0,0,8,0.95,0.25,USA,Rnd,53
38,1.5,96,49364,0,49460,0.95,0.25,USA,Rnd,150
39,1.5,84,49362,0,49446,0.95,0.25,USA,Rnd,172
40,1.5,88,49356,0,49444,0.95,0.25,USA,Rnd,150
41,1.5,94,49380,0,49474,0.95,0.25,USA,Rnd,139
42,1.5,86,49382,0,49468,0.95,0.25,USA,Rnd,136
43,1.5,4,0,0,4,0.95,0.25,USA,Rnd,46
44,1.5,80,49374,0,49454,0.95,0.25,USA,Rnd,126
45,1.5,84,49365,0,49449,0.95,0.25,USA,Rnd,141
46,1.5,93,49404,0,49497,0.95,0.25,USA,Rnd,142
47,1.5,93,49399,0,49492,0.95,0.25,USA,Rnd,127
48,1.5,12,0,0,12,0.95,0.25,USA,Rnd,72
49,1.5,4,0,0,4,0.95,0.25,USA,Rnd,30
50,1.5,90,49326,0,49416,0.95,0.25,USA,Rnd,136
51,1.5,5,0,0,5,0.95,0.25,USA,Rnd,51
52,1.5,92,49323,0,49415,0.95,0.25,USA,Rnd,131
53,1.5,93,49354,0,49447,0.95,0.25,USA,Rnd,133
54,1.5,79,49344,0,49423,0.95,0.25,USA,Rnd,121
55,1.5,75,49365,0,49440,0.95,0.25,USA,Rnd,128
56,1.5,97,49385,0,49482,0.95,0.25,USA,Rnd,133
57,1.5,3,0,0,3,0.95,0.25,USA,Rnd,21
58,1.5,83,49346,0,49429,0.95,0.25,USA,Rnd,160
59,1.5,89,49348,0,49437,0.95,0.25,USA,Rnd,126
60,1.5,8,0,0,8,0.95,0.25,USA,Rnd,101
61,1.5,5,0,0,5,0.95,0.25,USA,Rnd,39
62,1.5,82,49351,0,49433,0.95,0.25,USA,Rnd,141
63,1.5,1,0,0,1,0.95,0.25,USA,Rnd,21
64,1.5,83,49352,0,49435,0.95,0.25,USA,Rnd,156
65,1.5,82,49385,0,49467,0.95,0.25,USA,Rnd,130
66,1.5,5,0,0,5,0.95,0.25,USA,Rnd,55
67,1.5,2,0,0,2,0.95,0.25,USA,Rnd,39
68,1.5,87,49363,0,49450,0.95,0.25,USA,Rnd,133
69,1.5,101,49377,0,49478,0.95,0.25,USA,Rnd,136
70,1.5,95,49340,0,49435,0.95,0.25,USA,Rnd,139
