,R0,MSM_recov,HET_recov,red_HET,TOT_recov,red,bridge,country,strat,outbreak_time
0,1.5,35,49335,0,49370,0.95,0.09,USA,Rnd,128
1,1.5,41,49368,0,49409,0.95,0.09,USA,Rnd,148
2,1.5,39,49364,0,49403,0.95,0.09,USA,Rnd,132
3,1.5,11,0,0,11,0.95,0.09,USA,Rnd,75
4,1.5,2,0,0,2,0.95,0.09,USA,Rnd,30
5,1.5,8,0,0,8,0.95,0.09,USA,Rnd,61
6,1.5,36,49395,0,49431,0.95,0.09,USA,Rnd,131
7,1.5,37,49361,0,49398,0.95,0.09,USA,Rnd,141
8,1.5,36,49342,0,49378,0.95,0.09,USA,Rnd,148
9,1.5,39,49350,0,49389,0.95,0.09,USA,Rnd,136
10,1.5,7,0,0,7,0.95,0.09,USA,Rnd,55
11,1.5,5,0,0,5,0.95,0.09,USA,Rnd,48
12,1.5,4,0,0,4,0.95,0.09,USA,Rnd,42
13,1.5,9,0,0,9,0.95,0.09,USA,Rnd,98
14,1.5,11,0,0,11,0.95,0.09,USA,Rnd,64
15,1.5,48,49368,0,49416,0.95,0.09,USA,Rnd,156
16,1.5,45,49362,0,49407,0.95,0.09,USA,Rnd,134
17,1.5,8,0,0,8,0.95,0.09,USA,Rnd,76
18,1.5,2,0,0,2,0.95,0.09,USA,Rnd,42
19,1.5,3,0,0,3,0.95,0.09,USA,Rnd,64
20,1.5,32,49337,0,49369,0.95,0.09,USA,Rnd,144
21,1.5,38,49379,0,49417,0.95,0.09,USA,Rnd,143
22,1.5,30,49380,0,49410,0.95,0.09,USA,Rnd,137
23,1.5,4,0,0,4,0.95,0.09,USA,Rnd,41
24,1.5,39,49329,0,49368,0.95,0.09,USA,Rnd,158
25,1.5,11,0,0,11,0.95,0.09,USA,Rnd,49
26,1.5,41,49369,0,49410,0.95,0.09,USA,Rnd,127
27,1.5,38,49336,0,49374,0.95,0.09,USA,Rnd,131
28,1.5,10,0,0,10,0.95,0.09,USA,Rnd,54
29,1.5,46,49364,0,49410,0.95,0.09,USA,Rnd,138
30,1.5,8,0,0,8,0.95,0.09,USA,Rnd,67
31,1.5,42,49375,0,49417,0.95,0.09,USA,Rnd,161
32,1.5,48,49378,0,49426,0.95,0.09,USA,Rnd,140
33,1.5,4,0,0,4,0.95,0.09,USA,Rnd,70
34,1.5,4,0,0,4,0.95,0.09,USA,Rnd,48
35,1.5,34,49382,0,49416,0.95,0.09,USA,Rnd,158
36,1.5,39,49366,0,49405,0.95,0.09,USA,Rnd,149
37,1.5,39,49384,0,49423,0.95,0.09,USA,Rnd,128
38,1.5,4,0,0,4,0.95,0.09,USA,Rnd,39
39,1.5,6,0,0,6,0.95,0.09,USA,Rnd,79
40,1.5,27,49376,0,49403,0.95,0.09,USA,Rnd,127
41,1.5,39,49352,0,49391,0.95,0.09,USA,Rnd,127
42,1.5,7,0,0,7,0.95,0.09,USA,Rnd,64
43,1.5,5,0,0,5,0.95,0.09,USA,Rnd,58
44,1.5,41,49404,0,49445,0.95,0.09,USA,Rnd,119
45,1.5,38,49373,0,49411,0.95,0.09,USA,Rnd,152
46,1.5,38,49379,0,49417,0.95,0.09,USA,Rnd,128
47,1.5,10,0,0,10,0.95,0.09,USA,Rnd,65
48,1.5,34,49377,0,49411,0.95,0.09,USA,Rnd,136
49,1.5,38,49359,0,49397,0.95,0.09,USA,Rnd,128
50,1.5,8,0,0,8,0.95,0.09,USA,Rnd,78
51,1.5,41,49361,0,49402,0.95,0.09,USA,Rnd,159
52,1.5,3,0,0,3,0.95,0.09,USA,Rnd,40
53,1.5,13,0,0,13,0.95,0.09,USA,Rnd,73
54,1.5,36,49360,0,49396,0.95,0.09,USA,Rnd,166
55,1.5,41,49377,0,49418,0.95,0.09,USA,Rnd,160
56,1.5,36,49324,0,49360,0.95,0.09,USA,Rnd,165
57,1.5,36,49372,0,49408,0.95,0.09,USA,Rnd,126
58,1.5,50,49363,0,49413,0.95,0.09,USA,Rnd,145
59,1.5,47,49363,0,49410,0.95,0.09,USA,Rnd,125
60,1.5,36,49356,0,49392,0.95,0.09,USA,Rnd,147
61,1.5,39,49322,0,49361,0.95,0.09,USA,Rnd,122
62,1.5,13,0,0,13,0.95,0.09,USA,Rnd,63
63,1.5,41,49377,0,49418,0.95,0.09,USA,Rnd,119
64,1.5,35,49356,0,49391,0.95,0.09,USA,Rnd,146
65,1.5,2,0,0,2,0.95,0.09,USA,Rnd,30
66,1.5,6,0,0,6,0.95,0.09,USA,Rnd,44
67,1.5,33,49356,0,49389,0.95,0.09,USA,Rnd,133
68,1.5,3,0,0,3,0.95,0.09,USA,Rnd,55
69,1.5,37,49327,0,49364,0.95,0.09,USA,Rnd,136
70,1.5,38,49400,0,49438,0.95,0.09,USA,Rnd,127
71,1.5,45,49361,0,49406,0.95,0.09,USA,Rnd,146
72,1.5,34,49372,0,49406,0.95,0.09,USA,Rnd,158
73,1.5,4,0,0,4,0.95,0.09,USA,Rnd,44
74,1.5,36,49302,0,49338,0.95,0.09,USA,Rnd,130
75,1.5,4,0,0,4,0.95,0.09,USA,Rnd,51
76,1.5,36,49390,0,49426,0.95,0.09,USA,Rnd,139
77,1.5,6,0,0,6,0.95,0.09,USA,Rnd,50
78,1.5,5,0,0,5,0.95,0.09,USA,Rnd,67
79,1.5,41,49341,0,49382,0.95,0.09,USA,Rnd,133
80,1.5,10,0,0,10,0.95,0.09,USA,Rnd,58
81,1.5,12,0,0,12,0.95,0.09,USA,Rnd,63
82,1.5,47,49312,0,49359,0.95,0.09,USA,Rnd,147
83,1.5,11,0,0,11,0.95,0.09,USA,Rnd,74
84,1.5,38,49367,0,49405,0.95,0.09,USA,Rnd,139
85,1.5,3,0,0,3,0.95,0.09,USA,Rnd,45
86,1.5,2,0,0,2,0.95,0.09,USA,Rnd,31
87,1.5,3,0,0,3,0.95,0.09,USA,Rnd,48
88,1.5,3,0,0,3,0.95,0.09,USA,Rnd,32
89,1.5,2,0,0,2,0.95,0.09,USA,Rnd,30
90,1.5,37,49353,0,49390,0.95,0.09,USA,Rnd,191
91,1.5,42,49319,0,49361,0.95,0.09,USA,Rnd,138
92,1.5,41,49356,0,49397,0.95,0.09,USA,Rnd,129
93,1.5,6,0,0,6,0.95,0.09,USA,Rnd,59
94,1.5,2,0,0,2,0.95,0.09,USA,Rnd,46
95,1.5,13,0,0,13,0.95,0.09,USA,Rnd,80
96,1.5,16,0,0,16,0.95,0.09,USA,Rnd,72
97,1.5,2,0,0,2,0.95,0.09,USA,Rnd,46
98,1.5,3,0,0,3,0.95,0.09,USA,Rnd,42
99,1.5,3,0,0,3,0.95,0.09,USA,Rnd,34
