,R0,MSM_recov,HET_recov,red_HET,TOT_recov,red,bridge,country,strat,outbreak_time
0,1.5,230,49336,0.5,49566,0.5,0.2,USA,Rnd,133
1,1.5,212,49336,0.5,49548,0.5,0.2,USA,Rnd,130
2,1.5,223,49359,0.5,49582,0.5,0.2,USA,Rnd,141
3,1.5,214,49348,0.5,49562,0.5,0.2,USA,Rnd,132
4,1.5,207,49370,0.5,49577,0.5,0.2,USA,Rnd,130
5,1.5,201,49338,0.5,49539,0.5,0.2,USA,Rnd,128
6,1.5,218,49357,0.5,49575,0.5,0.2,USA,Rnd,127
7,1.5,230,49340,0.5,49570,0.5,0.2,USA,Rnd,136
8,1.5,225,49365,0.5,49590,0.5,0.2,USA,Rnd,128
9,1.5,208,49359,0.5,49567,0.5,0.2,USA,Rnd,121
10,1.5,223,49322,0.5,49545,0.5,0.2,USA,Rnd,120
11,1.5,219,49336,0.5,49555,0.5,0.2,USA,Rnd,125
12,1.5,221,49357,0.5,49578,0.5,0.2,USA,Rnd,136
13,1.5,219,49355,0.5,49574,0.5,0.2,USA,Rnd,141
14,1.5,228,49345,0.5,49573,0.5,0.2,USA,Rnd,135
15,1.5,231,49362,0.5,49593,0.5,0.2,USA,Rnd,156
16,1.5,223,49346,0.5,49569,0.5,0.2,USA,Rnd,127
17,1.5,209,49341,0.5,49550,0.5,0.2,USA,Rnd,128
18,1.5,217,49362,0.5,49579,0.5,0.2,USA,Rnd,130
19,1.5,220,49340,0.5,49560,0.5,0.2,USA,Rnd,147
20,1.5,233,49343,0.5,49576,0.5,0.2,USA,Rnd,136
21,1.5,221,49301,0.5,49522,0.5,0.2,USA,Rnd,124
22,1.5,218,49359,0.5,49577,0.5,0.2,USA,Rnd,137
23,1.5,212,49320,0.5,49532,0.5,0.2,USA,Rnd,118
24,1.5,218,49342,0.5,49560,0.5,0.2,USA,Rnd,134
25,1.5,217,49345,0.5,49562,0.5,0.2,USA,Rnd,147
26,1.5,213,49374,0.5,49587,0.5,0.2,USA,Rnd,123
27,1.5,210,49356,0.5,49566,0.5,0.2,USA,Rnd,144
28,1.5,204,49302,0.5,49506,0.5,0.2,USA,Rnd,131
29,1.5,226,49355,0.5,49581,0.5,0.2,USA,Rnd,130
30,1.5,220,49369,0.5,49589,0.5,0.2,USA,Rnd,127
31,1.5,225,49361,0.5,49586,0.5,0.2,USA,Rnd,126
32,1.5,224,49332,0.5,49556,0.5,0.2,USA,Rnd,148
33,1.5,196,49328,0.5,49524,0.5,0.2,USA,Rnd,129
34,1.5,212,49399,0.5,49611,0.5,0.2,USA,Rnd,121
35,1.5,224,49331,0.5,49555,0.5,0.2,USA,Rnd,125
36,1.5,232,49386,0.5,49618,0.5,0.2,USA,Rnd,133
37,1.5,216,49344,0.5,49560,0.5,0.2,USA,Rnd,136
38,1.5,228,49335,0.5,49563,0.5,0.2,USA,Rnd,130
39,1.5,216,49326,0.5,49542,0.5,0.2,USA,Rnd,139
40,1.5,220,49327,0.5,49547,0.5,0.2,USA,Rnd,134
41,1.5,215,49378,0.5,49593,0.5,0.2,USA,Rnd,121
42,1.5,223,49347,0.5,49570,0.5,0.2,USA,Rnd,123
43,1.5,213,49338,0.5,49551,0.5,0.2,USA,Rnd,115
44,1.5,223,49345,0.5,49568,0.5,0.2,USA,Rnd,146
45,1.5,222,49357,0.5,49579,0.5,0.2,USA,Rnd,135
46,1.5,217,49352,0.5,49569,0.5,0.2,USA,Rnd,129
47,1.5,215,49341,0.5,49556,0.5,0.2,USA,Rnd,161
48,1.5,222,49331,0.5,49553,0.5,0.2,USA,Rnd,130
49,1.5,224,49346,0.5,49570,0.5,0.2,USA,Rnd,132
50,1.5,219,49347,0.5,49566,0.5,0.2,USA,Rnd,130
51,1.5,221,49345,0.5,49566,0.5,0.2,USA,Rnd,123
52,1.5,217,49350,0.5,49567,0.5,0.2,USA,Rnd,121
53,1.5,210,49313,0.5,49523,0.5,0.2,USA,Rnd,125
54,1.5,220,49313,0.5,49533,0.5,0.2,USA,Rnd,120
55,1.5,225,49347,0.5,49572,0.5,0.2,USA,Rnd,126
56,1.5,227,49345,0.5,49572,0.5,0.2,USA,Rnd,127
57,1.5,219,49346,0.5,49565,0.5,0.2,USA,Rnd,125
58,1.5,222,49347,0.5,49569,0.5,0.2,USA,Rnd,124
59,1.5,231,49374,0.5,49605,0.5,0.2,USA,Rnd,139
60,1.5,220,49342,0.5,49562,0.5,0.2,USA,Rnd,133
61,1.5,216,49368,0.5,49584,0.5,0.2,USA,Rnd,124
62,1.5,209,49386,0.5,49595,0.5,0.2,USA,Rnd,123
63,1.5,213,49292,0.5,49505,0.5,0.2,USA,Rnd,142
64,1.5,228,49365,0.5,49593,0.5,0.2,USA,Rnd,134
65,1.5,204,49298,0.5,49502,0.5,0.2,USA,Rnd,129
66,1.5,218,49351,0.5,49569,0.5,0.2,USA,Rnd,131
67,1.5,223,49333,0.5,49556,0.5,0.2,USA,Rnd,121
68,1.5,216,49356,0.5,49572,0.5,0.2,USA,Rnd,139
69,1.5,217,49346,0.5,49563,0.5,0.2,USA,Rnd,132
70,1.5,211,49299,0.5,49510,0.5,0.2,USA,Rnd,129
71,1.5,204,49328,0.5,49532,0.5,0.2,USA,Rnd,118
72,1.5,218,49364,0.5,49582,0.5,0.2,USA,Rnd,130
73,1.5,220,49346,0.5,49566,0.5,0.2,USA,Rnd,126
74,1.5,225,49343,0.5,49568,0.5,0.2,USA,Rnd,121
75,1.5,218,49375,0.5,49593,0.5,0.2,USA,Rnd,130
76,1.5,227,49324,0.5,49551,0.5,0.2,USA,Rnd,128
77,1.5,210,49355,0.5,49565,0.5,0.2,USA,Rnd,124
78,1.5,208,49314,0.5,49522,0.5,0.2,USA,Rnd,130
79,1.5,217,49354,0.5,49571,0.5,0.2,USA,Rnd,122
80,1.5,208,49326,0.5,49534,0.5,0.2,USA,Rnd,127
81,1.5,220,49311,0.5,49531,0.5,0.2,USA,Rnd,133
82,1.5,210,49340,0.5,49550,0.5,0.2,USA,Rnd,126
83,1.5,226,49344,0.5,49570,0.5,0.2,USA,Rnd,122
84,1.5,215,49326,0.5,49541,0.5,0.2,USA,Rnd,126
85,1.5,217,49345,0.5,49562,0.5,0.2,USA,Rnd,122
86,1.5,216,49337,0.5,49553,0.5,0.2,USA,Rnd,123
87,1.5,225,49333,0.5,49558,0.5,0.2,USA,Rnd,136
88,1.5,210,49382,0.5,49592,0.5,0.2,USA,Rnd,132
89,1.5,214,49346,0.5,49560,0.5,0.2,USA,Rnd,139
90,1.5,215,49332,0.5,49547,0.5,0.2,USA,Rnd,142
91,1.5,209,49333,0.5,49542,0.5,0.2,USA,Rnd,139
92,1.5,227,49371,0.5,49598,0.5,0.2,USA,Rnd,136
93,1.5,224,49388,0.5,49612,0.5,0.2,USA,Rnd,141
94,1.5,226,49370,0.5,49596,0.5,0.2,USA,Rnd,136
95,1.5,222,49348,0.5,49570,0.5,0.2,USA,Rnd,136
96,1.5,217,49362,0.5,49579,0.5,0.2,USA,Rnd,133
97,1.5,215,49347,0.5,49562,0.5,0.2,USA,Rnd,125
98,1.5,225,49369,0.5,49594,0.5,0.2,USA,Rnd,132
99,1.5,217,49342,0.5,49559,0.5,0.2,USA,Rnd,136
