,R0,MSM_recov,HET_recov,red_HET,TOT_recov,red,bridge,country,strat,outbreak_time
0,1.5,158,49367,0,49525,0.65,0.005,USA,Rnd,194
1,1.5,151,0,0,151,0.65,0.005,USA,Rnd,133
2,1.5,169,0,0,169,0.65,0.005,USA,Rnd,142
3,1.5,153,0,0,153,0.65,0.005,USA,Rnd,151
4,1.5,150,49319,0,49469,0.65,0.005,USA,Rnd,205
5,1.5,161,49332,0,49493,0.65,0.005,USA,Rnd,193
6,1.5,165,0,0,165,0.65,0.005,USA,Rnd,173
7,1.5,148,49347,0,49495,0.65,0.005,USA,Rnd,162
8,1.5,189,49392,0,49581,0.65,0.005,USA,Rnd,198
9,1.5,178,49377,0,49555,0.65,0.005,USA,Rnd,188
10,1.5,165,0,0,165,0.65,0.005,USA,Rnd,149
11,1.5,169,49380,0,49549,0.65,0.005,USA,Rnd,189
12,1.5,148,0,0,148,0.65,0.005,USA,Rnd,120
13,1.5,139,0,0,139,0.65,0.005,USA,Rnd,116
14,1.5,165,0,0,165,0.65,0.005,USA,Rnd,145
15,1.5,160,0,0,160,0.65,0.005,USA,Rnd,145
16,1.5,159,0,0,159,0.65,0.005,USA,Rnd,141
17,1.5,151,0,0,151,0.65,0.005,USA,Rnd,135
18,1.5,140,0,0,140,0.65,0.005,USA,Rnd,140
19,1.5,171,0,0,171,0.65,0.005,USA,Rnd,155
20,1.5,165,0,0,165,0.65,0.005,USA,Rnd,151
21,1.5,139,0,0,139,0.65,0.005,USA,Rnd,130
22,1.5,163,0,0,163,0.65,0.005,USA,Rnd,118
23,1.5,169,0,0,169,0.65,0.005,USA,Rnd,130
24,1.5,165,49361,0,49526,0.65,0.005,USA,Rnd,174
25,1.5,162,49362,0,49524,0.65,0.005,USA,Rnd,175
26,1.5,147,0,0,147,0.65,0.005,USA,Rnd,134
27,1.5,155,0,0,155,0.65,0.005,USA,Rnd,148
28,1.5,179,0,0,179,0.65,0.005,USA,Rnd,144
29,1.5,163,0,0,163,0.65,0.005,USA,Rnd,148
30,1.5,159,49375,0,49534,0.65,0.005,USA,Rnd,187
31,1.5,147,0,0,147,0.65,0.005,USA,Rnd,137
32,1.5,156,0,0,156,0.65,0.005,USA,Rnd,150
33,1.5,161,0,0,161,0.65,0.005,USA,Rnd,146
34,1.5,156,0,0,156,0.65,0.005,USA,Rnd,158
35,1.5,169,0,0,169,0.65,0.005,USA,Rnd,141
36,1.5,160,0,0,160,0.65,0.005,USA,Rnd,170
37,1.5,155,0,0,155,0.65,0.005,USA,Rnd,150
38,1.5,160,0,0,160,0.65,0.005,USA,Rnd,142
39,1.5,171,0,0,171,0.65,0.005,USA,Rnd,139
40,1.5,148,49354,0,49502,0.65,0.005,USA,Rnd,154
41,1.5,140,49383,0,49523,0.65,0.005,USA,Rnd,207
42,1.5,173,49357,0,49530,0.65,0.005,USA,Rnd,179
43,1.5,147,49382,0,49529,0.65,0.005,USA,Rnd,167
44,1.5,156,0,0,156,0.65,0.005,USA,Rnd,137
45,1.5,141,0,0,141,0.65,0.005,USA,Rnd,133
46,1.5,146,49373,0,49519,0.65,0.005,USA,Rnd,140
47,1.5,147,0,0,147,0.65,0.005,USA,Rnd,134
48,1.5,151,0,0,151,0.65,0.005,USA,Rnd,137
49,1.5,152,0,0,152,0.65,0.005,USA,Rnd,123
50,1.5,165,49353,0,49518,0.65,0.005,USA,Rnd,167
51,1.5,163,0,0,163,0.65,0.005,USA,Rnd,109
52,1.5,156,49371,0,49527,0.65,0.005,USA,Rnd,181
53,1.5,162,0,0,162,0.65,0.005,USA,Rnd,144
54,1.5,162,0,0,162,0.65,0.005,USA,Rnd,168
55,1.5,169,0,0,169,0.65,0.005,USA,Rnd,130
56,1.5,152,49374,0,49526,0.65,0.005,USA,Rnd,184
57,1.5,130,0,0,130,0.65,0.005,USA,Rnd,117
58,1.5,160,49339,0,49499,0.65,0.005,USA,Rnd,200
59,1.5,173,49373,0,49546,0.65,0.005,USA,Rnd,202
60,1.5,151,0,0,151,0.65,0.005,USA,Rnd,141
61,1.5,163,0,0,163,0.65,0.005,USA,Rnd,127
62,1.5,150,49337,0,49487,0.65,0.005,USA,Rnd,197
63,1.5,174,0,0,174,0.65,0.005,USA,Rnd,156
64,1.5,154,0,0,154,0.65,0.005,USA,Rnd,136
65,1.5,152,0,0,152,0.65,0.005,USA,Rnd,130
66,1.5,169,0,0,169,0.65,0.005,USA,Rnd,169
67,1.5,178,49341,0,49519,0.65,0.005,USA,Rnd,180
68,1.5,161,49350,0,49511,0.65,0.005,USA,Rnd,167
69,1.5,163,49388,0,49551,0.65,0.005,USA,Rnd,168
70,1.5,148,0,0,148,0.65,0.005,USA,Rnd,134
71,1.5,138,0,0,138,0.65,0.005,USA,Rnd,135
72,1.5,164,0,0,164,0.65,0.005,USA,Rnd,161
73,1.5,175,0,0,175,0.65,0.005,USA,Rnd,179
74,1.5,158,49371,0,49529,0.65,0.005,USA,Rnd,187
75,1.5,145,49349,0,49494,0.65,0.005,USA,Rnd,191
76,1.5,155,49369,0,49524,0.65,0.005,USA,Rnd,173
77,1.5,169,49367,0,49536,0.65,0.005,USA,Rnd,179
78,1.5,163,49386,0,49549,0.65,0.005,USA,Rnd,176
79,1.5,184,0,0,184,0.65,0.005,USA,Rnd,137
80,1.5,161,49332,0,49493,0.65,0.005,USA,Rnd,178
81,1.5,157,0,0,157,0.65,0.005,USA,Rnd,174
82,1.5,132,0,0,132,0.65,0.005,USA,Rnd,119
83,1.5,157,0,0,157,0.65,0.005,USA,Rnd,135
84,1.5,145,49388,0,49533,0.65,0.005,USA,Rnd,183
85,1.5,165,49352,0,49517,0.65,0.005,USA,Rnd,194
86,1.5,163,0,0,163,0.65,0.005,USA,Rnd,169
87,1.5,137,49370,0,49507,0.65,0.005,USA,Rnd,146
88,1.5,165,0,0,165,0.65,0.005,USA,Rnd,115
89,1.5,168,49384,0,49552,0.65,0.005,USA,Rnd,168
90,1.5,147,49381,0,49528,0.65,0.005,USA,Rnd,188
91,1.5,147,0,0,147,0.65,0.005,USA,Rnd,168
92,1.5,139,0,0,139,0.65,0.005,USA,Rnd,134
93,1.5,150,49378,0,49528,0.65,0.005,USA,Rnd,238
94,1.5,133,0,0,133,0.65,0.005,USA,Rnd,137
95,1.5,143,49347,0,49490,0.65,0.005,USA,Rnd,141
96,1.5,158,49420,0,49578,0.65,0.005,USA,Rnd,178
97,1.5,150,49337,0,49487,0.65,0.005,USA,Rnd,190
98,1.5,169,0,0,169,0.65,0.005,USA,Rnd,144
99,1.5,178,49399,0,49577,0.65,0.005,USA,Rnd,153
