,R0,MSM_recov,HET_recov,red_HET,TOT_recov,red,bridge,country,strat,outbreak_time
0,1.5,134,49393,0,49527,0.95,0.4,USA,Rnd,172
1,1.5,132,49408,0,49540,0.95,0.4,USA,Rnd,131
2,1.5,130,49378,0,49508,0.95,0.4,USA,Rnd,134
3,1.5,130,49377,0,49507,0.95,0.4,USA,Rnd,147
4,1.5,4,0,0,4,0.95,0.4,USA,Rnd,42
5,1.5,3,0,0,3,0.95,0.4,USA,Rnd,47
6,1.5,131,49385,0,49516,0.95,0.4,USA,Rnd,134
7,1.5,8,0,0,8,0.95,0.4,USA,Rnd,47
8,1.5,125,49382,0,49507,0.95,0.4,USA,Rnd,147
9,1.5,133,49360,0,49493,0.95,0.4,USA,Rnd,135
10,1.5,137,49378,0,49515,0.95,0.4,USA,Rnd,148
11,1.5,124,49360,0,49484,0.95,0.4,USA,Rnd,129
12,1.5,126,49359,0,49485,0.95,0.4,USA,Rnd,125
13,1.5,135,49387,0,49522,0.95,0.4,USA,Rnd,132
14,1.5,136,49350,0,49486,0.95,0.4,USA,Rnd,141
15,1.5,133,49342,0,49475,0.95,0.4,USA,Rnd,133
16,1.5,129,49369,0,49498,0.95,0.4,USA,Rnd,136
17,1.5,130,49296,0,49426,0.95,0.4,USA,Rnd,126
18,1.5,130,49349,0,49479,0.95,0.4,USA,Rnd,125
19,1.5,133,49358,0,49491,0.95,0.4,USA,Rnd,140
20,1.5,134,49384,0,49518,0.95,0.4,USA,Rnd,123
21,1.5,125,49378,0,49503,0.95,0.4,USA,Rnd,139
22,1.5,122,49376,0,49498,0.95,0.4,USA,Rnd,134
23,1.5,4,0,0,4,0.95,0.4,USA,Rnd,46
24,1.5,127,49320,0,49447,0.95,0.4,USA,Rnd,128
25,1.5,131,49382,0,49513,0.95,0.4,USA,Rnd,132
26,1.5,6,0,0,6,0.95,0.4,USA,Rnd,61
27,1.5,129,49410,0,49539,0.95,0.4,USA,Rnd,124
28,1.5,127,49368,0,49495,0.95,0.4,USA,Rnd,137
29,1.5,126,49327,0,49453,0.95,0.4,USA,Rnd,148
30,1.5,130,49375,0,49505,0.95,0.4,USA,Rnd,131
31,1.5,129,49376,0,49505,0.95,0.4,USA,Rnd,149
32,1.5,139,49324,0,49463,0.95,0.4,USA,Rnd,131
33,1.5,133,49380,0,49513,0.95,0.4,USA,Rnd,139
34,1.5,128,49347,0,49475,0.95,0.4,USA,Rnd,124
35,1.5,137,49346,0,49483,0.95,0.4,USA,Rnd,128
36,1.5,130,49333,0,49463,0.95,0.4,USA,Rnd,125
37,1.5,136,49339,0,49475,0.95,0.4,USA,Rnd,144
38,1.5,122,49351,0,49473,0.95,0.4,USA,Rnd,138
39,1.5,1,0,0,1,0.95,0.4,USA,Rnd,21
