,R0,MSM_recov,HET_recov,red_HET,TOT_recov,red,bridge,country,strat,outbreak_time
0,1.5,211,49363,0,49574,0.45,0.01,USA,Rnd,143
1,1.5,201,0,0,201,0.45,0.01,USA,Rnd,148
2,1.5,216,49368,0,49584,0.45,0.01,USA,Rnd,154
3,1.5,216,49365,0,49581,0.45,0.01,USA,Rnd,160
4,1.5,211,49352,0,49563,0.45,0.01,USA,Rnd,164
5,1.5,211,0,0,211,0.45,0.01,USA,Rnd,135
6,1.5,191,49366,0,49557,0.45,0.01,USA,Rnd,135
7,1.5,198,49322,0,49520,0.45,0.01,USA,Rnd,166
8,1.5,207,49349,0,49556,0.45,0.01,USA,Rnd,157
9,1.5,198,49328,0,49526,0.45,0.01,USA,Rnd,173
10,1.5,211,49358,0,49569,0.45,0.01,USA,Rnd,157
11,1.5,192,49377,0,49569,0.45,0.01,USA,Rnd,144
12,1.5,215,49389,0,49604,0.45,0.01,USA,Rnd,144
13,1.5,214,49347,0,49561,0.45,0.01,USA,Rnd,148
14,1.5,209,49364,0,49573,0.45,0.01,USA,Rnd,155
15,1.5,224,49386,0,49610,0.45,0.01,USA,Rnd,150
16,1.5,208,49337,0,49545,0.45,0.01,USA,Rnd,141
17,1.5,197,49357,0,49554,0.45,0.01,USA,Rnd,168
18,1.5,195,49385,0,49580,0.45,0.01,USA,Rnd,145
19,1.5,221,49362,0,49583,0.45,0.01,USA,Rnd,142
20,1.5,204,49375,0,49579,0.45,0.01,USA,Rnd,168
21,1.5,215,49356,0,49571,0.45,0.01,USA,Rnd,147
22,1.5,190,0,0,190,0.45,0.01,USA,Rnd,114
23,1.5,202,49368,0,49570,0.45,0.01,USA,Rnd,135
24,1.5,219,49333,0,49552,0.45,0.01,USA,Rnd,154
25,1.5,198,49386,0,49584,0.45,0.01,USA,Rnd,154
26,1.5,220,49376,0,49596,0.45,0.01,USA,Rnd,156
27,1.5,224,49356,0,49580,0.45,0.01,USA,Rnd,143
28,1.5,202,49359,0,49561,0.45,0.01,USA,Rnd,159
29,1.5,221,49374,0,49595,0.45,0.01,USA,Rnd,163
30,1.5,206,49357,0,49563,0.45,0.01,USA,Rnd,124
31,1.5,200,49382,0,49582,0.45,0.01,USA,Rnd,240
32,1.5,214,49332,0,49546,0.45,0.01,USA,Rnd,177
33,1.5,185,49392,0,49577,0.45,0.01,USA,Rnd,161
34,1.5,199,49363,0,49562,0.45,0.01,USA,Rnd,210
35,1.5,215,49374,0,49589,0.45,0.01,USA,Rnd,155
36,1.5,200,49345,0,49545,0.45,0.01,USA,Rnd,138
37,1.5,220,49354,0,49574,0.45,0.01,USA,Rnd,153
38,1.5,206,49341,0,49547,0.45,0.01,USA,Rnd,146
39,1.5,198,49361,0,49559,0.45,0.01,USA,Rnd,156
40,1.5,199,49363,0,49562,0.45,0.01,USA,Rnd,205
41,1.5,205,49381,0,49586,0.45,0.01,USA,Rnd,156
42,1.5,213,49384,0,49597,0.45,0.01,USA,Rnd,150
43,1.5,208,49347,0,49555,0.45,0.01,USA,Rnd,151
44,1.5,216,49364,0,49580,0.45,0.01,USA,Rnd,245
45,1.5,201,49375,0,49576,0.45,0.01,USA,Rnd,134
46,1.5,204,49325,0,49529,0.45,0.01,USA,Rnd,254
47,1.5,195,49367,0,49562,0.45,0.01,USA,Rnd,131
48,1.5,215,49348,0,49563,0.45,0.01,USA,Rnd,165
49,1.5,191,49377,0,49568,0.45,0.01,USA,Rnd,154
50,1.5,198,49353,0,49551,0.45,0.01,USA,Rnd,136
51,1.5,215,49329,0,49544,0.45,0.01,USA,Rnd,151
52,1.5,209,49363,0,49572,0.45,0.01,USA,Rnd,167
53,1.5,206,49387,0,49593,0.45,0.01,USA,Rnd,175
54,1.5,201,49339,0,49540,0.45,0.01,USA,Rnd,154
55,1.5,188,49342,0,49530,0.45,0.01,USA,Rnd,146
56,1.5,187,49367,0,49554,0.45,0.01,USA,Rnd,138
57,1.5,216,49346,0,49562,0.45,0.01,USA,Rnd,137
58,1.5,213,49351,0,49564,0.45,0.01,USA,Rnd,154
59,1.5,208,49384,0,49592,0.45,0.01,USA,Rnd,161
60,1.5,208,49362,0,49570,0.45,0.01,USA,Rnd,158
61,1.5,211,49405,0,49616,0.45,0.01,USA,Rnd,143
62,1.5,218,49344,0,49562,0.45,0.01,USA,Rnd,158
63,1.5,205,49321,0,49526,0.45,0.01,USA,Rnd,132
64,1.5,202,49350,0,49552,0.45,0.01,USA,Rnd,135
65,1.5,200,49364,0,49564,0.45,0.01,USA,Rnd,140
66,1.5,205,49343,0,49548,0.45,0.01,USA,Rnd,151
67,1.5,204,49372,0,49576,0.45,0.01,USA,Rnd,139
68,1.5,211,49377,0,49588,0.45,0.01,USA,Rnd,166
69,1.5,200,49368,0,49568,0.45,0.01,USA,Rnd,213
70,1.5,207,49411,0,49618,0.45,0.01,USA,Rnd,179
71,1.5,194,49362,0,49556,0.45,0.01,USA,Rnd,162
72,1.5,192,49386,0,49578,0.45,0.01,USA,Rnd,140
73,1.5,219,49370,0,49589,0.45,0.01,USA,Rnd,140
74,1.5,215,49339,0,49554,0.45,0.01,USA,Rnd,155
75,1.5,211,49358,0,49569,0.45,0.01,USA,Rnd,144
76,1.5,208,49373,0,49581,0.45,0.01,USA,Rnd,164
77,1.5,195,49359,0,49554,0.45,0.01,USA,Rnd,149
78,1.5,218,49375,0,49593,0.45,0.01,USA,Rnd,153
79,1.5,202,49423,0,49625,0.45,0.01,USA,Rnd,132
80,1.5,202,49354,0,49556,0.45,0.01,USA,Rnd,138
81,1.5,222,49381,0,49603,0.45,0.01,USA,Rnd,147
82,1.5,209,49366,0,49575,0.45,0.01,USA,Rnd,138
83,1.5,210,49339,0,49549,0.45,0.01,USA,Rnd,147
84,1.5,207,49330,0,49537,0.45,0.01,USA,Rnd,143
85,1.5,209,49355,0,49564,0.45,0.01,USA,Rnd,186
86,1.5,207,49398,0,49605,0.45,0.01,USA,Rnd,152
87,1.5,210,49352,0,49562,0.45,0.01,USA,Rnd,150
88,1.5,223,49349,0,49572,0.45,0.01,USA,Rnd,132
89,1.5,193,49346,0,49539,0.45,0.01,USA,Rnd,151
90,1.5,217,49363,0,49580,0.45,0.01,USA,Rnd,134
91,1.5,199,49343,0,49542,0.45,0.01,USA,Rnd,150
92,1.5,214,49391,0,49605,0.45,0.01,USA,Rnd,146
93,1.5,219,0,0,219,0.45,0.01,USA,Rnd,145
94,1.5,212,49357,0,49569,0.45,0.01,USA,Rnd,143
95,1.5,205,49394,0,49599,0.45,0.01,USA,Rnd,152
96,1.5,200,49363,0,49563,0.45,0.01,USA,Rnd,156
97,1.5,186,49371,0,49557,0.45,0.01,USA,Rnd,141
98,1.5,211,0,0,211,0.45,0.01,USA,Rnd,145
99,1.5,211,49351,0,49562,0.45,0.01,USA,Rnd,126
