,R0,MSM_recov,HET_recov,red_HET,TOT_recov,red,bridge,country,strat,outbreak_time
0,1.5,236,49348,0,49584,0.6,0.55,USA,Rnd,125
1,1.5,241,49347,0,49588,0.6,0.55,USA,Rnd,125
2,1.5,233,49349,0,49582,0.6,0.55,USA,Rnd,117
3,1.5,238,49347,0,49585,0.6,0.55,USA,Rnd,113
4,1.5,236,49342,0,49578,0.6,0.55,USA,Rnd,122
5,1.5,240,49360,0,49600,0.6,0.55,USA,Rnd,117
6,1.5,226,49378,0,49604,0.6,0.55,USA,Rnd,120
7,1.5,235,49347,0,49582,0.6,0.55,USA,Rnd,118
8,1.5,242,49363,0,49605,0.6,0.55,USA,Rnd,123
9,1.5,245,49314,0,49559,0.6,0.55,USA,Rnd,117
10,1.5,230,49400,0,49630,0.6,0.55,USA,Rnd,127
11,1.5,242,49367,0,49609,0.6,0.55,USA,Rnd,126
12,1.5,236,49354,0,49590,0.6,0.55,USA,Rnd,115
13,1.5,240,49388,0,49628,0.6,0.55,USA,Rnd,124
14,1.5,240,49370,0,49610,0.6,0.55,USA,Rnd,123
15,1.5,230,49336,0,49566,0.6,0.55,USA,Rnd,135
16,1.5,238,49349,0,49587,0.6,0.55,USA,Rnd,121
17,1.5,239,49406,0,49645,0.6,0.55,USA,Rnd,120
18,1.5,238,49361,0,49599,0.6,0.55,USA,Rnd,125
19,1.5,234,49365,0,49599,0.6,0.55,USA,Rnd,121
20,1.5,234,49368,0,49602,0.6,0.55,USA,Rnd,123
21,1.5,242,49377,0,49619,0.6,0.55,USA,Rnd,124
22,1.5,236,49337,0,49573,0.6,0.55,USA,Rnd,113
23,1.5,240,49366,0,49606,0.6,0.55,USA,Rnd,118
24,1.5,240,49353,0,49593,0.6,0.55,USA,Rnd,126
25,1.5,237,49384,0,49621,0.6,0.55,USA,Rnd,117
26,1.5,240,49376,0,49616,0.6,0.55,USA,Rnd,129
27,1.5,242,49366,0,49608,0.6,0.55,USA,Rnd,120
28,1.5,237,49369,0,49606,0.6,0.55,USA,Rnd,117
29,1.5,240,49358,0,49598,0.6,0.55,USA,Rnd,123
30,1.5,239,49392,0,49631,0.6,0.55,USA,Rnd,120
31,1.5,235,49346,0,49581,0.6,0.55,USA,Rnd,121
32,1.5,232,49318,0,49550,0.6,0.55,USA,Rnd,123
33,1.5,237,49355,0,49592,0.6,0.55,USA,Rnd,130
34,1.5,241,49397,0,49638,0.6,0.55,USA,Rnd,116
35,1.5,245,49402,0,49647,0.6,0.55,USA,Rnd,128
36,1.5,240,49332,0,49572,0.6,0.55,USA,Rnd,120
37,1.5,238,49339,0,49577,0.6,0.55,USA,Rnd,118
38,1.5,240,49348,0,49588,0.6,0.55,USA,Rnd,145
39,1.5,244,49379,0,49623,0.6,0.55,USA,Rnd,134
40,1.5,242,49399,0,49641,0.6,0.55,USA,Rnd,121
41,1.5,240,49367,0,49607,0.6,0.55,USA,Rnd,121
42,1.5,241,49371,0,49612,0.6,0.55,USA,Rnd,128
43,1.5,244,49371,0,49615,0.6,0.55,USA,Rnd,134
44,1.5,243,49334,0,49577,0.6,0.55,USA,Rnd,121
45,1.5,233,49302,0,49535,0.6,0.55,USA,Rnd,122
46,1.5,238,49345,0,49583,0.6,0.55,USA,Rnd,122
47,1.5,231,49348,0,49579,0.6,0.55,USA,Rnd,133
48,1.5,234,49373,0,49607,0.6,0.55,USA,Rnd,115
49,1.5,243,49339,0,49582,0.6,0.55,USA,Rnd,123
50,1.5,236,49400,0,49636,0.6,0.55,USA,Rnd,130
51,1.5,231,49321,0,49552,0.6,0.55,USA,Rnd,135
52,1.5,236,49374,0,49610,0.6,0.55,USA,Rnd,138
53,1.5,238,49357,0,49595,0.6,0.55,USA,Rnd,129
54,1.5,245,49399,0,49644,0.6,0.55,USA,Rnd,119
55,1.5,240,49405,0,49645,0.6,0.55,USA,Rnd,122
56,1.5,243,49328,0,49571,0.6,0.55,USA,Rnd,119
57,1.5,235,49349,0,49584,0.6,0.55,USA,Rnd,126
58,1.5,235,49342,0,49577,0.6,0.55,USA,Rnd,113
59,1.5,238,49393,0,49631,0.6,0.55,USA,Rnd,116
60,1.5,241,49347,0,49588,0.6,0.55,USA,Rnd,117
61,1.5,240,49357,0,49597,0.6,0.55,USA,Rnd,117
62,1.5,229,49381,0,49610,0.6,0.55,USA,Rnd,124
63,1.5,237,49345,0,49582,0.6,0.55,USA,Rnd,118
64,1.5,243,49353,0,49596,0.6,0.55,USA,Rnd,120
65,1.5,248,49354,0,49602,0.6,0.55,USA,Rnd,116
66,1.5,235,49383,0,49618,0.6,0.55,USA,Rnd,122
67,1.5,231,49376,0,49607,0.6,0.55,USA,Rnd,129
68,1.5,236,49332,0,49568,0.6,0.55,USA,Rnd,125
69,1.5,239,49366,0,49605,0.6,0.55,USA,Rnd,112
70,1.5,238,49326,0,49564,0.6,0.55,USA,Rnd,120
71,1.5,240,49367,0,49607,0.6,0.55,USA,Rnd,152
72,1.5,242,49324,0,49566,0.6,0.55,USA,Rnd,146
73,1.5,236,49374,0,49610,0.6,0.55,USA,Rnd,128
74,1.5,238,49391,0,49629,0.6,0.55,USA,Rnd,122
75,1.5,234,49332,0,49566,0.6,0.55,USA,Rnd,120
76,1.5,239,49321,0,49560,0.6,0.55,USA,Rnd,113
77,1.5,240,49365,0,49605,0.6,0.55,USA,Rnd,117
78,1.5,233,49377,0,49610,0.6,0.55,USA,Rnd,132
79,1.5,236,49344,0,49580,0.6,0.55,USA,Rnd,137
80,1.5,237,49382,0,49619,0.6,0.55,USA,Rnd,119
81,1.5,235,49324,0,49559,0.6,0.55,USA,Rnd,125
82,1.5,239,49337,0,49576,0.6,0.55,USA,Rnd,122
83,1.5,234,49347,0,49581,0.6,0.55,USA,Rnd,122
84,1.5,241,49391,0,49632,0.6,0.55,USA,Rnd,122
85,1.5,242,49376,0,49618,0.6,0.55,USA,Rnd,116
86,1.5,229,49355,0,49584,0.6,0.55,USA,Rnd,125
87,1.5,240,49369,0,49609,0.6,0.55,USA,Rnd,114
88,1.5,236,49335,0,49571,0.6,0.55,USA,Rnd,127
89,1.5,235,49339,0,49574,0.6,0.55,USA,Rnd,135
90,1.5,235,49396,0,49631,0.6,0.55,USA,Rnd,117
91,1.5,234,49361,0,49595,0.6,0.55,USA,Rnd,127
92,1.5,237,49334,0,49571,0.6,0.55,USA,Rnd,119
93,1.5,240,49334,0,49574,0.6,0.55,USA,Rnd,123
94,1.5,237,49361,0,49598,0.6,0.55,USA,Rnd,123
95,1.5,227,49376,0,49603,0.6,0.55,USA,Rnd,128
96,1.5,233,49374,0,49607,0.6,0.55,USA,Rnd,120
97,1.5,237,49361,0,49598,0.6,0.55,USA,Rnd,125
98,1.5,237,49340,0,49577,0.6,0.55,USA,Rnd,133
99,1.5,234,49356,0,49590,0.6,0.55,USA,Rnd,125
