,R0,MSM_recov,HET_recov,red_HET,TOT_recov,red,bridge,country,strat,outbreak_time
0,1.5,119,49380,0.4,49499,0.7,0.01,USA,Rnd,210
1,1.5,149,49366,0.4,49515,0.7,0.01,USA,Rnd,150
2,1.5,139,49341,0.4,49480,0.7,0.01,USA,Rnd,139
3,1.5,115,49338,0.4,49453,0.7,0.01,USA,Rnd,147
4,1.5,164,49320,0.4,49484,0.7,0.01,USA,Rnd,200
5,1.5,102,0,0.4,102,0.7,0.01,USA,Rnd,141
6,1.5,128,49367,0.4,49495,0.7,0.01,USA,Rnd,142
7,1.5,134,49325,0.4,49459,0.7,0.01,USA,Rnd,194
8,1.5,123,0,0.4,123,0.7,0.01,USA,Rnd,149
9,1.5,130,0,0.4,130,0.7,0.01,USA,Rnd,147
10,1.5,140,49382,0.4,49522,0.7,0.01,USA,Rnd,217
11,1.5,169,49342,0.4,49511,0.7,0.01,USA,Rnd,154
12,1.5,133,49382,0.4,49515,0.7,0.01,USA,Rnd,152
13,1.5,147,0,0.4,147,0.7,0.01,USA,Rnd,138
14,1.5,146,0,0.4,146,0.7,0.01,USA,Rnd,271
15,1.5,133,49308,0.4,49441,0.7,0.01,USA,Rnd,141
16,1.5,159,49345,0.4,49504,0.7,0.01,USA,Rnd,142
17,1.5,124,49343,0.4,49467,0.7,0.01,USA,Rnd,205
18,1.5,153,49368,0.4,49521,0.7,0.01,USA,Rnd,159
19,1.5,150,49362,0.4,49512,0.7,0.01,USA,Rnd,145
20,1.5,170,49338,0.4,49508,0.7,0.01,USA,Rnd,206
21,1.5,145,49374,0.4,49519,0.7,0.01,USA,Rnd,148
22,1.5,146,0,0.4,146,0.7,0.01,USA,Rnd,150
23,1.5,138,49349,0.4,49487,0.7,0.01,USA,Rnd,147
24,1.5,154,49395,0.4,49549,0.7,0.01,USA,Rnd,174
25,1.5,125,49380,0.4,49505,0.7,0.01,USA,Rnd,152
26,1.5,132,0,0.4,132,0.7,0.01,USA,Rnd,142
27,1.5,141,49415,0.4,49556,0.7,0.01,USA,Rnd,167
28,1.5,147,49422,0.4,49569,0.7,0.01,USA,Rnd,175
29,1.5,151,49339,0.4,49490,0.7,0.01,USA,Rnd,167
30,1.5,144,49337,0.4,49481,0.7,0.01,USA,Rnd,175
31,1.5,156,49344,0.4,49500,0.7,0.01,USA,Rnd,152
32,1.5,138,49327,0.4,49465,0.7,0.01,USA,Rnd,204
33,1.5,137,49357,0.4,49494,0.7,0.01,USA,Rnd,169
34,1.5,161,49390,0.4,49551,0.7,0.01,USA,Rnd,160
35,1.5,118,0,0.4,118,0.7,0.01,USA,Rnd,135
36,1.5,137,49325,0.4,49462,0.7,0.01,USA,Rnd,178
37,1.5,143,49344,0.4,49487,0.7,0.01,USA,Rnd,151
38,1.5,126,49372,0.4,49498,0.7,0.01,USA,Rnd,143
39,1.5,126,49381,0.4,49507,0.7,0.01,USA,Rnd,158
40,1.5,132,49359,0.4,49491,0.7,0.01,USA,Rnd,152
41,1.5,155,49389,0.4,49544,0.7,0.01,USA,Rnd,185
42,1.5,159,49319,0.4,49478,0.7,0.01,USA,Rnd,210
43,1.5,133,49347,0.4,49480,0.7,0.01,USA,Rnd,164
44,1.5,137,49340,0.4,49477,0.7,0.01,USA,Rnd,202
45,1.5,117,49381,0.4,49498,0.7,0.01,USA,Rnd,193
46,1.5,148,49394,0.4,49542,0.7,0.01,USA,Rnd,177
47,1.5,131,49378,0.4,49509,0.7,0.01,USA,Rnd,147
48,1.5,146,49404,0.4,49550,0.7,0.01,USA,Rnd,211
49,1.5,157,49400,0.4,49557,0.7,0.01,USA,Rnd,163
50,1.5,155,49350,0.4,49505,0.7,0.01,USA,Rnd,160
51,1.5,136,49373,0.4,49509,0.7,0.01,USA,Rnd,150
52,1.5,143,49359,0.4,49502,0.7,0.01,USA,Rnd,171
53,1.5,126,49349,0.4,49475,0.7,0.01,USA,Rnd,132
54,1.5,174,49359,0.4,49533,0.7,0.01,USA,Rnd,169
55,1.5,112,49372,0.4,49484,0.7,0.01,USA,Rnd,138
56,1.5,155,49362,0.4,49517,0.7,0.01,USA,Rnd,181
57,1.5,136,49359,0.4,49495,0.7,0.01,USA,Rnd,169
58,1.5,149,49377,0.4,49526,0.7,0.01,USA,Rnd,169
59,1.5,135,49391,0.4,49526,0.7,0.01,USA,Rnd,191
60,1.5,129,49354,0.4,49483,0.7,0.01,USA,Rnd,168
61,1.5,149,49358,0.4,49507,0.7,0.01,USA,Rnd,162
62,1.5,142,49338,0.4,49480,0.7,0.01,USA,Rnd,153
63,1.5,143,0,0.4,143,0.7,0.01,USA,Rnd,248
64,1.5,136,49359,0.4,49495,0.7,0.01,USA,Rnd,143
65,1.5,149,49340,0.4,49489,0.7,0.01,USA,Rnd,139
66,1.5,130,0,0.4,130,0.7,0.01,USA,Rnd,138
67,1.5,170,49374,0.4,49544,0.7,0.01,USA,Rnd,153
68,1.5,159,49362,0.4,49521,0.7,0.01,USA,Rnd,189
69,1.5,128,49378,0.4,49506,0.7,0.01,USA,Rnd,215
