,R0,MSM_recov,HET_recov,red_HET,TOT_recov,red,bridge,country,strat,outbreak_time
0,1.5,198,49386,0.2,49584,0.5,0.05,USA,Rnd,135
1,1.5,198,49367,0.2,49565,0.5,0.05,USA,Rnd,130
2,1.5,181,49334,0.2,49515,0.5,0.05,USA,Rnd,131
3,1.5,201,49332,0.2,49533,0.5,0.05,USA,Rnd,140
4,1.5,204,49380,0.2,49584,0.5,0.05,USA,Rnd,141
5,1.5,198,49347,0.2,49545,0.5,0.05,USA,Rnd,140
6,1.5,186,49360,0.2,49546,0.5,0.05,USA,Rnd,129
7,1.5,190,49347,0.2,49537,0.5,0.05,USA,Rnd,129
8,1.5,217,49387,0.2,49604,0.5,0.05,USA,Rnd,129
9,1.5,198,49387,0.2,49585,0.5,0.05,USA,Rnd,133
10,1.5,184,49388,0.2,49572,0.5,0.05,USA,Rnd,139
11,1.5,215,49380,0.2,49595,0.5,0.05,USA,Rnd,152
12,1.5,207,49329,0.2,49536,0.5,0.05,USA,Rnd,137
13,1.5,187,49373,0.2,49560,0.5,0.05,USA,Rnd,132
14,1.5,198,49375,0.2,49573,0.5,0.05,USA,Rnd,134
15,1.5,199,49329,0.2,49528,0.5,0.05,USA,Rnd,130
16,1.5,206,49387,0.2,49593,0.5,0.05,USA,Rnd,127
17,1.5,201,49340,0.2,49541,0.5,0.05,USA,Rnd,166
18,1.5,194,49388,0.2,49582,0.5,0.05,USA,Rnd,148
19,1.5,189,49357,0.2,49546,0.5,0.05,USA,Rnd,144
20,1.5,183,49369,0.2,49552,0.5,0.05,USA,Rnd,124
21,1.5,198,49377,0.2,49575,0.5,0.05,USA,Rnd,128
22,1.5,209,49370,0.2,49579,0.5,0.05,USA,Rnd,136
23,1.5,194,49334,0.2,49528,0.5,0.05,USA,Rnd,137
24,1.5,201,49375,0.2,49576,0.5,0.05,USA,Rnd,216
25,1.5,196,49371,0.2,49567,0.5,0.05,USA,Rnd,131
26,1.5,199,49375,0.2,49574,0.5,0.05,USA,Rnd,124
27,1.5,185,49324,0.2,49509,0.5,0.05,USA,Rnd,134
28,1.5,195,49363,0.2,49558,0.5,0.05,USA,Rnd,124
29,1.5,205,49367,0.2,49572,0.5,0.05,USA,Rnd,140
30,1.5,206,49355,0.2,49561,0.5,0.05,USA,Rnd,132
31,1.5,207,49402,0.2,49609,0.5,0.05,USA,Rnd,134
32,1.5,198,49370,0.2,49568,0.5,0.05,USA,Rnd,125
